customer_id,segment,retention_priority,R_score,F_score,M_score,RFM_score
CUST00001,Hibernating,6,2,2,1,5
CUST00002,Potential Loyalists,2,4,2,2,8
CUST00003,Hibernating,6,1,2,2,5
CUST00004,At Risk,1,2,2,4,8
CUST00005,Champions,4,4,4,4,12
CUST00006,Loyal Customers,3,3,4,5,12
CUST00007,Potential Loyalists,2,5,2,3,10
CUST00008,Loyal Customers,3,3,4,5,12
CUST00009,Potential Loyalists,2,4,2,2,8
CUST00010,Potential Loyalists,2,5,2,2,9
CUST00011,Potential Loyalists,2,5,2,2,9
CUST00012,Needs Attention,5,3,2,3,8
CUST00013,Loyal Customers,3,3,4,4,11
CUST00014,Loyal Customers,3,3,3,4,10
CUST00015,Loyal Customers,3,4,3,4,11
CUST00016,Hibernating,6,1,1,1,3
CUST00017,Hibernating,6,1,1,1,3
CUST00018,Hibernating,6,2,2,1,5
CUST00019,Loyal Customers,3,5,3,4,12
CUST00020,Hibernating,6,1,1,1,3
CUST00021,Loyal Customers,3,3,3,3,9
CUST00022,Potential Loyalists,2,4,2,2,8
CUST00023,Potential Loyalists,2,4,2,2,8
CUST00024,Potential Loyalists,2,5,2,2,9
CUST00025,Hibernating,6,1,2,2,5
CUST00026,Loyal Customers,3,3,4,5,12
CUST00027,Needs Attention,5,3,2,5,10
CUST00028,Needs Attention,5,3,2,2,7
CUST00029,Champions,4,5,4,4,13
CUST00030,Champions,4,5,5,5,15
CUST00031,Needs Attention,5,3,2,2,7
CUST00032,Potential Loyalists,2,4,2,3,9
CUST00033,Champions,4,5,4,4,13
CUST00034,Loyal Customers,3,3,3,4,10
CUST00035,At Risk,1,2,2,3,7
CUST00036,Champions,4,4,4,4,12
CUST00037,Hibernating,6,2,2,2,6
CUST00038,Loyal Customers,3,3,4,5,12
CUST00039,Loyal Customers,3,5,3,3,11
CUST00040,Hibernating,6,1,2,2,5
CUST00041,Needs Attention,5,3,2,1,6
CUST00042,At Risk,1,2,5,5,12
CUST00043,Potential Loyalists,2,4,2,1,7
CUST00044,Needs Attention,5,3,2,3,8
CUST00045,Hibernating,6,2,2,2,6
CUST00046,Hibernating,6,2,2,2,6
CUST00047,Hibernating,6,1,1,1,3
CUST00048,Loyal Customers,3,3,4,5,12
CUST00049,Potential Loyalists,2,5,2,2,9
CUST00050,Loyal Customers,3,5,3,5,13
CUST00051,Hibernating,6,1,1,1,3
CUST00052,Loyal Customers,3,3,3,4,10
CUST00053,Champions,4,4,4,5,13
CUST00054,Potential Loyalists,2,5,2,2,9
CUST00055,Champions,4,5,4,4,13
CUST00056,Champions,4,5,4,5,14
CUST00057,At Risk,1,2,2,4,8
CUST00058,Potential Loyalists,2,4,2,2,8
CUST00059,Loyal Customers,3,5,3,4,12
CUST00060,Hibernating,6,2,2,1,5
CUST00061,Champions,4,5,4,4,13
CUST00062,Champions,4,4,4,5,13
CUST00063,Hibernating,6,1,1,1,3
CUST00064,Potential Loyalists,2,5,2,2,9
CUST00065,Potential Loyalists,2,5,2,5,12
CUST00066,Hibernating,6,1,1,1,3
CUST00067,Loyal Customers,3,3,3,4,10
CUST00068,Hibernating,6,1,1,1,3
CUST00069,Loyal Customers,3,4,3,3,10
CUST00070,Potential Loyalists,2,4,2,2,8
CUST00071,Potential Loyalists,2,4,2,5,11
CUST00072,At Risk,1,2,3,4,9
CUST00073,Loyal Customers,3,5,3,3,11
CUST00074,Potential Loyalists,2,5,2,3,10
CUST00075,Champions,4,5,4,4,13
CUST00076,Loyal Customers,3,5,3,4,12
CUST00077,Hibernating,6,2,2,2,6
CUST00078,At Risk,1,2,2,3,7
CUST00079,Hibernating,6,1,1,1,3
CUST00080,Needs Attention,5,3,2,4,9
CUST00081,Champions,4,5,5,5,15
CUST00082,Hibernating,6,1,1,1,3
CUST00083,At Risk,1,2,3,3,8
CUST00084,At Risk,1,1,2,4,7
CUST00085,Potential Loyalists,2,5,2,4,11
CUST00086,Champions,4,4,4,4,12
CUST00087,Potential Loyalists,2,4,2,3,9
CUST00088,At Risk,1,2,3,3,8
CUST00089,At Risk,1,1,2,4,7
CUST00090,Loyal Customers,3,3,4,5,12
CUST00091,Hibernating,6,2,2,1,5
CUST00092,Potential Loyalists,2,4,2,2,8
CUST00093,Needs Attention,5,3,2,3,8
CUST00094,Hibernating,6,1,1,1,3
CUST00095,Needs Attention,5,3,2,1,6
CUST00096,Loyal Customers,3,3,3,4,10
CUST00097,Champions,4,5,4,5,14
CUST00098,Hibernating,6,1,1,1,3
CUST00099,At Risk,1,2,3,4,9
CUST00100,Needs Attention,5,3,2,1,6
CUST00101,At Risk,1,2,3,4,9
CUST00102,Needs Attention,5,3,2,3,8
CUST00103,Potential Loyalists,2,4,2,4,10
CUST00104,At Risk,1,2,2,3,7
CUST00105,Potential Loyalists,2,4,2,5,11
CUST00106,Needs Attention,5,3,2,2,7
CUST00107,Loyal Customers,3,5,3,4,12
CUST00108,Potential Loyalists,2,4,2,3,9
CUST00109,At Risk,1,2,3,4,9
CUST00110,Champions,4,4,4,5,13
CUST00111,At Risk,1,1,2,3,6
CUST00112,Champions,4,5,4,5,14
CUST00113,Loyal Customers,3,4,3,4,11
CUST00114,Hibernating,6,1,1,1,3
CUST00115,Hibernating,6,1,2,2,5
CUST00116,Hibernating,6,2,2,2,6
CUST00117,At Risk,1,2,3,4,9
CUST00118,Potential Loyalists,2,4,2,3,9
CUST00119,Needs Attention,5,3,2,5,10
CUST00120,Potential Loyalists,2,4,2,1,7
CUST00121,Loyal Customers,3,4,3,5,12
CUST00122,At Risk,1,2,3,5,10
CUST00123,At Risk,1,2,4,5,11
CUST00124,Hibernating,6,1,1,1,3
CUST00125,Loyal Customers,3,5,3,4,12
CUST00126,Needs Attention,5,3,2,3,8
CUST00127,Loyal Customers,3,4,3,3,10
CUST00128,Loyal Customers,3,5,3,4,12
CUST00129,Loyal Customers,3,3,4,5,12
CUST00130,At Risk,1,2,2,4,8
CUST00131,Needs Attention,5,3,2,5,10
CUST00132,At Risk,1,2,2,4,8
CUST00133,Loyal Customers,3,3,5,5,13
CUST00134,Loyal Customers,3,4,3,4,11
CUST00135,Hibernating,6,1,1,1,3
CUST00136,Needs Attention,5,3,2,2,7
CUST00137,At Risk,1,1,3,3,7
CUST00138,Needs Attention,5,3,2,3,8
CUST00139,Loyal Customers,3,4,3,4,11
CUST00140,Champions,4,5,4,5,14
CUST00141,Potential Loyalists,2,4,2,2,8
