customer_id,snapshot_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,marketing_consent,recency_days,frequency_180d,monetary_180d,return_rate_180d,avg_discount_pct_180d,avg_rating_180d,category_diversity_180d,ticket_count_90d,negative_ticket_rate_90d,avg_resolution_hours_90d,days_since_signup,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago,churn_next_60d,split,R_score,F_score,M_score,RFM_score,segment,retention_priority
CUST01148,2025-09-30,Tier 1,35-44,Organic,,Hair Care,No,128,7,5448.0,0.0,0.139,3.86,5,0,0.0,0.0,448,1,3,0,0,0,0,0,26,1,train,2,5,5,12,At Risk,1
CUST00841,2025-09-30,Tier 1,25-34,Organic,,Hair Care,No,99,6,5236.09,0.167,0.19,4.67,3,0,0.0,0.0,330,2,7,1,0,0,0,0,29,0,train,2,5,5,12,At Risk,1
CUST00726,2025-09-30,Tier 3,25-34,Marketplace,,Skin Care,Yes,98,4,4849.51,0.25,0.34,4.5,4,0,0.0,0.0,527,10,55,4,3,3,5,0,19,0,train,2,4,5,11,At Risk,1
CUST00883,2025-09-30,Tier 2,45+,Referral,,Fragrance,Yes,126,2,4600.78,0.0,0.07,2.5,2,0,0.0,0.0,226,1,6,0,0,0,3,1,21,0,train,2,3,5,10,At Risk,1
CUST00042,2025-09-30,Tier 1,35-44,Organic,Silver,Hair Care,Yes,87,5,4306.0,0.0,0.2,3.4,4,2,0.5,9.65,529,3,13,1,0,0,7,2,14,0,train,2,5,5,12,At Risk,1
CUST00675,2025-09-30,Tier 2,35-44,Referral,Silver,Makeup,Yes,130,2,4218.15,0.0,0.235,3.5,1,0,0.0,0.0,548,8,47,1,0,1,4,1,35,0,train,2,3,5,10,At Risk,1
CUST02287,2025-09-30,Tier 3,25-34,Instagram,,Skin Care,Yes,100,2,4208.86,0.0,0.19,5.0,2,0,0.0,0.0,615,0,0,0,0,0,3,1,12,0,test,2,3,5,10,At Risk,1
CUST02154,2025-09-30,Tier 2,35-44,Influencer,Gold,Skin Care,Yes,106,4,3939.57,0.0,0.122,4.0,3,0,0.0,0.0,590,10,32,2,1,1,7,2,24,0,train,2,4,5,11,At Risk,1
CUST00366,2025-09-30,Tier 1,25-34,Instagram,,Hair Care,Yes,92,2,3930.92,0.0,0.235,2.5,2,0,0.0,0.0,536,2,6,1,0,0,0,0,26,0,train,2,3,5,10,At Risk,1
CUST02010,2025-09-30,Tier 1,45+,Referral,,Skin Care,Yes,97,2,3814.95,0.0,0.185,3.5,2,0,0.0,0.0,519,6,19,2,2,1,7,3,24,0,validation,2,3,5,10,At Risk,1
CUST02350,2025-09-30,Tier 1,25-34,Marketplace,,Skin Care,Yes,132,3,3619.51,0.0,0.297,4.33,3,0,0.0,0.0,294,1,5,0,0,0,2,1,21,0,train,2,4,5,11,At Risk,1
CUST02241,2025-09-30,Tier 1,45+,Marketplace,Gold,Makeup,No,114,4,3532.06,0.0,0.147,4.0,3,0,0.0,0.0,181,0,0,0,0,0,0,0,31,1,train,2,4,5,11,At Risk,1
CUST00814,2025-09-30,Tier 3,25-34,Organic,,Skin Care,No,88,2,3500.93,0.0,0.245,4.0,2,0,0.0,0.0,229,14,57,6,0,3,0,0,16,0,train,2,3,5,10,At Risk,1
CUST01976,2025-09-30,Tier 3,18-24,Instagram,,Baby Care,Yes,100,4,3483.16,0.25,0.152,4.5,3,1,1.0,14.4,333,15,52,8,4,4,7,1,25,0,train,2,4,5,11,At Risk,1
CUST01384,2025-09-30,Tier 2,35-44,Marketplace,,Hair Care,Yes,145,2,3420.26,0.5,0.19,4.0,2,0,0.0,0.0,477,5,16,2,1,1,0,0,24,1,validation,2,3,5,10,At Risk,1
CUST00990,2025-09-30,Tier 1,25-34,Influencer,,Hair Care,No,167,3,3332.24,0.0,0.343,3.67,2,0,0.0,0.0,612,6,30,1,1,1,0,0,37,0,validation,1,4,5,10,At Risk,1
CUST01761,2025-09-30,Tier 2,18-24,Google Search,,Baby Care,Yes,89,4,3303.61,0.0,0.297,4.25,3,0,0.0,0.0,542,2,9,1,0,0,4,1,21,0,validation,2,4,5,11,At Risk,1
CUST00208,2025-09-30,Tier 1,18-24,Organic,,Fragrance,Yes,91,4,3282.3,0.0,0.18,4.25,3,1,1.0,8.9,332,2,10,1,0,0,3,1,24,1,train,2,4,5,11,At Risk,1
CUST01519,2025-09-30,Tier 2,18-24,Instagram,,Skin Care,No,105,3,3216.75,0.0,0.167,4.0,2,0,0.0,0.0,228,0,0,0,0,0,0,0,20,0,validation,2,4,5,11,At Risk,1
CUST01036,2025-09-30,Tier 2,25-34,Instagram,,Hair Care,Yes,141,3,3112.55,0.0,0.227,4.67,3,0,0.0,0.0,336,8,33,2,0,1,4,0,29,1,validation,2,4,5,11,At Risk,1
